Source Package,URL_lookaside,SHA256_lookaside,Error_lookaside,File Name,Protocol,URL_source,SHA256_source,Error_source,SHA256_match,has_error,File Extension,source_number,num_versions_uploaded_to_lookaside,status,Error_source_normalized
SDL_mng,https://src.fedoraproject.org/repo/pkgs/SDL_mng/SDL_mng-0.2.8.tgz/sha512/457f03e1ca79df267bb498e299ddd9bb96f055a79c0705d36e2cd692f7bb0ec90a77be7755bee53cc9cffa4b5da90d15d443fd658949ebc098e8dadfdde3c1c2/SDL_mng-0.2.8.tgz,7ebabb67a4d7b70cc6362ae692efeb609206e8b8c60714ba274533414d859f33,,SDL_mng-0.2.8.tgz,http:,http://www.identicalsoftware.com/btbuilder/SDL_mng-0.2.8.tgz,97380354a3906e88fd8afd1fc9cc3ed0d1befa3a30bf9babdb85621c35193b97,,false,false,tgz,0,1,very_suspicious,
Saaghar,https://src.fedoraproject.org/repo/pkgs/Saaghar/Saaghar-3.0.0.tar.gz/sha512/e4920f286bae9305c470d48e54b06049ec5a8cbaf70385a22328ba9363086679b40a6c745600392bceedf33464d8e15b247de02f260af44062eb1dfcc5b585b3/Saaghar-3.0.0.tar.gz,d14402f93d3c808fba91ff0d54fe2e536912f40cf9cab365368e722890210b55,,Saaghar-3.0.0.tar.gz,https:,https://github.com/srazi/Saaghar/releases/download/v3.0.0/Saaghar-3.0.0.tar.gz,62ed14604aaf35f906735ba73d4b55df9f9d000d36603e4edbe50c7c2a76e898,,false,false,tar.gz,0,1,very_suspicious,
ZipArchive,https://src.fedoraproject.org/repo/pkgs/ZipArchive/ziparchive_src.zip/md5/3d2ec49638cfbc5d57cc43b0a894573d/ziparchive_src.zip,0b6a8e323e55f4636e5ac1d6358b33504c4c27e0082886407f0c070092c54df5,,ziparchive_src.zip,http:,http://www.artpol-software.com/Downloads/ziparchive_src.zip,1bc361eb5b16abc2f33fdc3adfce2d94b4c6ad92e60f6fdf57f448bad38e9a78,,false,false,zip,0,2,very_suspicious,
academic-admin,https://src.fedoraproject.org/repo/pkgs/academic-admin/hugo-academic-cli-0.8.1.tar.gz/sha512/3900072e129e906d5b1bb619f78f9194fe5f4b60cc802a3d3a5b64f597b93b9ffb6c1fb8e596f1dec23f1d22025875af044ae5b06c287abb80a7c64f3e12d056/hugo-academic-cli-0.8.1.tar.gz,f000888999e278e8d1e78806fcb93c7d00f41d377f80503a37ab55b2376d6987,,hugo-academic-cli-0.8.1.tar.gz,https:,https://github.com/wowchemy/hugo-academic-cli/archive/0.8.1/hugo-academic-cli-0.8.1.tar.gz,889fbaffcc273ca052a62e3dd9a99589c345103fc3906f90444e2eacc78bf66f,,false,false,tar.gz,0,1,very_suspicious,
acpica-tools,https://src.fedoraproject.org/repo/pkgs/acpica-tools/acpica-unix2-20220331.tar.gz/sha512/c606396323dc342ae4c7bab9526b04aca09b00a932363146c1791523962ade0bdb4e40b67ff2a0a246df3ce322592879288c3fcc5fb7a450beb87a6d70c5ef40/acpica-unix2-20220331.tar.gz,1ccda5c6a08a90b145777df635eb09f995b3472b3128f375009c5a6b01a04c7a,,acpica-unix2-20220331.tar.gz,https:,https://acpica.org/sites/acpica/files/acpica-unix2-20220331.tar.gz,9ecfc67b675284cf2f3f395b77e63db2dba7121b43570b19a9ecc0eabfdfdf1d,,false,false,tar.gz,0,1,very_suspicious,
adobe-source-han-serif-cn-fonts,https://src.fedoraproject.org/repo/pkgs/adobe-source-han-serif-cn-fonts/SourceHanSerifCN.zip/sha512/910e8f0bdcca1c874d04bc8df2297ffc6821e897824dd5f1889549ef6722b10323a58253042e6e71c05c653eb50a093c126765d2a0444e0851edabf58f07c486/SourceHanSerifCN.zip,1051bde2a4f0984ba329536aa6eb9d81e8e092c7b4e3598fcf64a5c8d5fa8697,,SourceHanSerifCN.zip,https:,https://github.com/adobe-fonts/source-han-serif/raw/release/SubsetOTF/SourceHanSerifCN.zip,e0bcfcb323efa83b5305dbcd5873cc85ad634e15353580ec449103d3763f9a60,,false,false,zip,0,4,very_suspicious,
adobe-source-han-serif-jp-fonts,https://src.fedoraproject.org/repo/pkgs/adobe-source-han-serif-jp-fonts/SourceHanSerifJP.zip/sha512/5e6005e904619b671b1ffd089a0f44e0502e3a6af1dca749ddcf0fe0fe6d67cbb0d2e19099f5e0da173a31e67bcbeb6f884e41eb998141346be69122452a0ae4/SourceHanSerifJP.zip,0c78abd9261986f59f80c148f5bdc52c7531ea2c59e9a434bd9a7b80610bcaa3,,SourceHanSerifJP.zip,https:,https://github.com/adobe-fonts/source-han-serif/raw/release/SubsetOTF/SourceHanSerifJP.zip,280c2e42ad704cc899b6535b63ead980ed5b6f781fc718ae80eba9f8f3236d0c,,false,false,zip,0,1,very_suspicious,
adobe-source-han-serif-kr-fonts,https://src.fedoraproject.org/repo/pkgs/adobe-source-han-serif-kr-fonts/SourceHanSerifKR.zip/sha512/0562aaab11926a70672c0aba6dc0e212492067d02bea71c2508ff199c84a7b02e5e2dc87aaa8b2a966cdeb5ef30ecc8e8ebe0c2eea8e881b788adfaa00aa2e7c/SourceHanSerifKR.zip,a162d6446e02a098227f112901ceb8c7d6889ae0f46e48ee384791a36a46f5e2,,SourceHanSerifKR.zip,https:,https://github.com/adobe-fonts/source-han-serif/raw/release/SubsetOTF/SourceHanSerifKR.zip,c49742155ff7d1d9b9bf295f9473edfd4a01fd1cb72d135f4324cc98b5cb315e,,false,false,zip,0,1,very_suspicious,
adobe-source-han-serif-tw-fonts,https://src.fedoraproject.org/repo/pkgs/adobe-source-han-serif-tw-fonts/SourceHanSerifTW.zip/sha512/5fed5f44abf96850680316ddd9cca9c99cca1c544f368db4078bed2cce0bb123a93222fd5a82dad946a0492620f066d135238b01f1327a0e106d12b0623455a3/SourceHanSerifTW.zip,1c7a69fd3e1847c815635253c9542f36290811f0b665673ded7d0cdf9ad69cfe,,SourceHanSerifTW.zip,https:,https://github.com/adobe-fonts/source-han-serif/raw/release/SubsetOTF/SourceHanSerifTW.zip,3ed024c37f3d4be42dff0003d7ad71d6e0d92bf8e078dc187400295a20d11042,,false,false,zip,0,4,very_suspicious,
aide,https://src.fedoraproject.org/repo/pkgs/aide/aide-0.18.6.tar.gz/sha512/c0e7c366029a401bce4cf44762caecada4d4831bfc2f00ebab6cb818ba259fae5409fdfcc7386d2bc9ca91a8e8fe0eb78927205bc75513578b8a3ccd17183744/aide-0.18.6.tar.gz,8ff36ce47d37d0cc987762d5d961346d475de74bba8a1832fd006db6edd3c10e,,aide-0.18.6.tar.gz,http:,http://sourceforge.net/projects/aide/files/aide/0.18.6/aide-0.18.6.tar.gz,bbf7f4807564429db955fa731264bb2d5c0cb6d4dbb705d6edf339896af33bac,,false,false,tar.gz,0,1,very_suspicious,
